"Date","Max_TemperatureC","Mean_TemperatureC","Min_TemperatureC"
"1",2014-05-05,21,16,10
"2",2014-05-06,22,17,11
"3",2014-05-07,21,16,10
"4",2014-05-08,15,13,12
"5",2014-05-09,17,15,13
"6",2014-05-10,28,21,14
"7",2014-05-11,28,22,16
"8",2014-05-12,29,24,18
"9",2014-05-13,23,17,12
"10",2014-05-14,22,17,11
"11",2014-05-15,22,18,14
"12",2014-05-16,20,17,14
"13",2014-05-17,21,17,12
"14",2014-05-18,19,15,11
"15",2014-05-19,22,16,9
"16",2014-05-20,26,19,12
"17",2014-05-21,23,21,17
"18",2014-05-22,19,17,15
"19",2014-05-23,22,18,13
"20",2014-05-24,21,18,14
"21",2014-05-25,27,20,13
"22",2014-05-26,30,24,19
"23",2014-05-27,30,24,18
"24",2014-05-28,18,15,12
"25",2014-05-29,19,15,11
"26",2014-05-30,24,18,13
"27",2014-05-31,23,18,14
"28",2014-06-01,25,19,13
"29",2014-06-02,27,21,15
"30",2014-06-03,31,24,18
"31",2014-06-04,28,23,17
"32",2014-06-05,24,21,16
"33",2014-06-06,24,21,16
"34",2014-06-07,28,22,16
"35",2014-06-08,30,24,19
"36",2014-06-09,23,20,17
"37",2014-06-10,25,22,18
"38",2014-06-11,21,19,16
"39",2014-06-12,23,19,16
"40",2014-06-13,26,22,18
"41",2014-06-14,23,19,16
"42",2014-06-15,27,21,15
"43",2014-06-16,27,22,17
"44",2014-06-17,32,27,22
"45",2014-06-18,32,28,24
"46",2014-06-19,25,23,20
"47",2014-06-20,26,22,18
"48",2014-06-21,26,21,17
"49",2014-06-22,26,22,18
"50",2014-06-23,27,23,18
"51",2014-06-24,27,24,20
"52",2014-06-25,29,26,21
"53",2014-06-26,29,26,21
"54",2014-06-27,28,24,19
"55",2014-06-28,31,25,19
"56",2014-06-29,28,24,20
"57",2014-06-30,29,25,21
"58",2014-07-01,32,27,22
"59",2014-07-02,33,28,22
"60",2014-07-03,31,26,21
"61",2014-07-04,23,21,18
"62",2014-07-05,27,22,17
"63",2014-07-06,29,24,19
"64",2014-07-07,32,27,22
"65",2014-07-08,33,27,22
"66",2014-07-09,31,27,22
"67",2014-07-10,28,26,22
"68",2014-07-11,30,26,22
"69",2014-07-12,29,26,22
"70",2014-07-13,28,26,22
"71",2014-07-14,29,26,22
"72",2014-07-15,30,26,22
"73",2014-07-16,27,24,20
"74",2014-07-17,27,23,19
"75",2014-07-18,27,23,18
"76",2014-07-19,24,22,20
"77",2014-07-20,26,22,19
"78",2014-07-21,29,24,19
"79",2014-07-22,30,26,22
"80",2014-07-23,31,27,22
"81",2014-07-24,27,24,21
"82",2014-07-25,28,23,19
"83",2014-07-26,27,24,21
"84",2014-07-27,29,26,22
"85",2014-07-28,28,24,20
"86",2014-07-29,24,21,18
"87",2014-07-30,27,22,17
"88",2014-07-31,28,24,20
"89",2014-08-01,29,26,22
"90",2014-08-02,23,21,17
"91",2014-08-03,24,22,19
"92",2014-08-04,29,25,21
"93",2014-08-05,32,27,22
"94",2014-08-06,28,25,21
"95",2014-08-07,28,24,19
"96",2014-08-08,28,23,18
"97",2014-08-09,31,25,19
"98",2014-08-10,31,26,20
"99",2014-08-11,31,26,22
"100",2014-08-12,26,24,21
"101",2014-08-13,28,24,20
"102",2014-08-14,25,21,17
"103",2014-08-15,23,19,16
"104",2014-08-16,26,22,17
"105",2014-08-17,28,23,19
"106",2014-08-18,27,22,17
"107",2014-08-19,28,23,17
"108",2014-08-20,29,25,21
"109",2014-08-21,28,23,18
"110",2014-08-22,26,22,18
"111",2014-08-23,25,22,19
"112",2014-08-24,27,22,18
"113",2014-08-25,31,24,18
"114",2014-08-26,32,27,21
"115",2014-08-27,32,27,21
"116",2014-08-28,28,23,19
"117",2014-08-29,27,22,16
"118",2014-08-30,27,23,18
"119",2014-08-31,32,28,23
"120",2014-09-01,31,28,24
"121",2014-09-02,33,29,25
"122",2014-09-03,30,26,22
"123",2014-09-04,31,26,21
"124",2014-09-05,31,27,22
"125",2014-09-06,33,26,19
"126",2014-09-07,27,23,18
"127",2014-09-08,24,21,18
"128",2014-09-09,23,20,17
"129",2014-09-10,27,22,17
"130",2014-09-11,28,24,21
"131",2014-09-12,26,21,17
"132",2014-09-13,21,18,14
"133",2014-09-14,22,17,12
"134",2014-09-15,22,17,13
"135",2014-09-16,21,18,14
"136",2014-09-17,23,18,13
"137",2014-09-18,24,19,14
"138",2014-09-19,19,16,12
"139",2014-09-20,24,19,14
"140",2014-09-21,24,22,19
"141",2014-09-22,22,17,13
"142",2014-09-23,22,17,11
"143",2014-09-24,22,18,14
"144",2014-09-25,18,16,14
"145",2014-09-26,25,20,14
"146",2014-09-27,28,22,16
"147",2014-09-28,29,23,18
"148",2014-09-29,26,23,19
"149",2014-09-30,22,19,17
"150",2014-10-01,18,17,16
"151",2014-10-02,21,19,16
"152",2014-10-03,22,18,13
"153",2014-10-04,21,16,11
"154",2014-10-05,16,12,8
