41,190,7.4,67,5,1,80.07192452,67.59024636,5/5/2014
36,118,8,72,5,2,80.82301287,73.55612398,5/6/2014
12,149,12.6,74,5,3,71.27999864,75.55895439,5/7/2014
18,313,11.5,62,5,4,64.76241657,60.60771889,5/8/2014
23,299,8.6,65,5,7,73.88928853,64.90260035,5/9/2014
19,99,13.8,59,5,8,52.000664,56.3868993,5/10/2014
8,19,20.1,61,5,9,42.92408042,58.01821996,5/11/2014
16,256,9.7,69,5,12,73.25427194,69.62982524,5/12/2014
11,290,9.2,66,5,13,69.72286569,66.01194902,5/13/2014
14,274,10.9,68,5,14,70.38143901,68.21240552,5/14/2014
18,65,13.2,58,5,15,49.96815887,55.23295197,5/15/2014
14,334,11.5,64,5,16,66.5609358,63.1145172,5/16/2014
34,307,12,66,5,17,74.49539602,65.5452142,5/17/2014
6,78,18.4,57,5,18,39.90723695,53.02670174,5/18/2014
30,322,11.5,68,5,19,76.75183474,68.12811381,5/19/2014
11,44,9.7,62,5,20,55.32632733,60.97487555,5/20/2014
1,8,9.7,59,5,21,46.85787535,57.2656114,5/21/2014
11,320,16.6,73,5,22,70.36802411,73.98897148,5/22/2014
4,25,9.7,61,5,23,50.97877904,59.73845416,5/23/2014
32,92,12,61,5,24,60.66990304,59.25663031,5/24/2014
23,13,12,67,5,28,62.57056735,66.80293098,5/25/2014
45,252,14.9,81,5,29,92.41643457,84.35209722,5/26/2014
115,223,5.7,79,5,30,123.9486741,82.22599898,5/27/2014
37,279,7.4,76,5,31,93.15363819,78.48350026,5/28/2014
29,127,9.7,82,6,7,89.2679936,85.70330325,5/29/2014
71,291,13.8,90,6,9,115.1789489,95.82212533,5/30/2014
39,323,11.5,87,6,10,103.7309768,91.94269773,5/31/2014
23,148,8,82,6,13,89.64320871,85.73365315,6/1/2014
21,191,14.9,77,6,16,77.22902836,79.23155045,6/2/2014
37,284,20.7,72,6,17,73.02886186,72.41729183,6/3/2014
20,37,9.2,65,6,18,62.39967088,64.78071255,6/4/2014
12,120,11.5,73,6,19,70.17808632,74.39510958,6/5/2014
13,137,10.3,76,6,20,76.02766589,78.23952796,6/6/2014
135,269,4.1,84,7,1,141.3611335,88.14652356,6/7/2014
49,248,9.2,85,7,2,104.8091086,89.40544193,6/8/2014
32,236,9.2,81,7,3,93.53066272,84.48049606,6/9/2014
64,175,4.6,83,7,5,110.1754311,86.98302018,6/10/2014
40,314,10.9,83,7,6,99.48922298,86.93247657,6/11/2014
77,276,5.1,88,7,7,124.6296073,92.85890533,6/12/2014
97,267,6.3,92,7,8,134.2861885,97.72393082,6/13/2014
97,272,5.7,92,7,9,135.2909732,97.64758466,6/14/2014
85,175,7.4,89,7,10,121.4084302,94.21820035,6/15/2014
10,264,14.3,73,7,12,70.98181493,74.15687666,6/16/2014
27,175,14.9,81,7,13,83.98777594,84.35209722,6/17/2014
7,48,14.3,80,7,15,72.64632944,83.08761339,6/18/2014
48,260,6.9,81,7,16,102.9457494,84.55251859,6/19/2014
35,274,10.3,82,7,17,95.8619329,85.69365703,6/20/2014
61,285,6.3,84,7,18,112.968054,88.1607902,6/21/2014
79,187,5.1,87,7,19,120.0234656,91.68259141,6/22/2014
63,220,11.5,85,7,20,106.2226901,89.43589942,6/23/2014
16,7,6.9,74,7,21,72.90381077,76.12586994,6/24/2014
80,294,8.6,86,7,24,119.2556572,90.62114105,6/25/2014
108,223,8,85,7,25,125.7931341,89.3869119,6/26/2014
20,81,8.6,82,7,26,85.46075849,85.7223714,6/27/2014
52,82,12,86,7,27,98.75464069,90.69954978,6/28/2014
82,213,7.4,88,7,28,120.6828043,93.00783881,6/29/2014
50,275,7.4,86,7,29,109.6203341,90.58711572,6/30/2014
64,253,7.4,83,7,30,109.976192,86.95603108,7/1/2014
59,254,9.2,81,7,31,103.5829127,84.48049606,7/2/2014
39,83,6.9,81,8,1,92.48238842,84.55251859,7/3/2014
9,24,13.8,81,8,2,74.30107109,84.37318874,7/4/2014
16,77,7.4,82,8,3,84.98137068,85.74566953,7/5/2014
122,255,4,89,8,7,142.0775394,93.92153944,7/6/2014
89,229,10.3,90,8,8,123.0410475,95.6324958,7/7/2014
110,207,8,90,8,9,131.9556765,95.47567649,7/8/2014
44,192,11.5,86,8,12,99.95246137,90.68929857,7/9/2014
28,273,11.5,82,8,13,92.00807405,85.67570196,7/10/2014
65,157,9.7,80,8,14,100.3891407,83.23046048,7/11/2014
22,71,10.3,77,8,16,78.12615867,79.48188281,7/12/2014
59,51,6.3,79,8,17,96.24601137,82.18382732,7/13/2014
23,115,7.4,76,8,18,81.68393705,78.48350026,7/14/2014
31,244,10.9,78,8,19,87.77270169,80.69245289,7/15/2014
44,190,10.3,78,8,20,91.12796179,80.72423765,7/16/2014
21,259,15.5,77,8,21,78.52170176,79.20389784,7/17/2014
9,36,14.3,72,8,22,62.79009416,72.88105713,7/18/2014
45,212,9.7,79,8,24,94.14703402,81.99403909,7/19/2014
168,238,3.4,81,8,25,148.9830519,84.71621608,7/20/2014
73,215,8,86,8,26,114.5197759,90.60466482,7/21/2014
76,203,9.7,97,8,28,126.870822,104.249624,7/22/2014
118,225,2.3,94,8,29,147.2371018,99.22822371,7/23/2014
84,237,6.3,96,8,30,133.2554152,102.5055011,7/24/2014
85,188,6.3,94,8,31,129.1083356,100.114716,7/25/2014
96,167,6.9,91,9,1,127.8357479,96.59058809,7/26/2014
78,197,5.1,92,9,2,126.0206113,97.564161,7/27/2014
73,183,2.8,93,9,3,127.4664975,98.26468499,7/28/2014
91,189,4.6,93,9,4,131.9149583,98.65531445,7/29/2014
47,95,7.4,87,9,5,102.5453163,91.79747726,7/30/2014
32,92,15.5,84,9,6,86.75555952,88.19406932,7/31/2014
20,252,10.9,80,9,7,86.70865375,83.18846236,8/1/2014
23,220,10.3,78,9,8,84.85444455,80.72423765,8/2/2014
21,230,10.9,75,9,9,80.07978796,76.94843868,8/3/2014
24,259,9.7,73,9,10,81.09055647,74.57551078,8/4/2014
44,236,14.9,81,9,11,91.61863537,84.35209722,8/5/2014
21,259,15.5,76,9,12,77.23739155,77.91958763,8/6/2014
28,238,6.3,77,9,13,91.09790106,79.79304217,8/7/2014
9,24,10.9,71,9,14,64.01224748,71.95641973,8/8/2014
13,112,11.5,71,9,15,67.7588229,71.88831127,8/9/2014
46,237,6.9,78,9,16,97.68566579,80.94109774,8/10/2014
18,224,13.8,67,9,17,65.50596711,66.56373182,8/11/2014
13,27,10.3,76,9,18,72.23456244,78.23952796,8/12/2014
24,238,10.3,68,9,19,73.39958575,68.3006892,8/13/2014
16,201,8,82,9,20,89.26831982,85.73365315,8/14/2014
13,238,12.6,64,9,21,61.75760786,62.93192645,8/15/2014
23,14,9.2,71,9,22,69.99254803,72.16813136,8/16/2014
36,139,10.3,81,9,23,90.31240564,84.45130219,8/17/2014
7,49,10.3,69,9,24,62.20869921,69.54304404,8/18/2014
14,20,16.6,63,9,25,50.60107441,61.07275862,8/19/2014
30,193,6.9,70,9,26,80.66472498,71.31064214,8/20/2014
14,191,14.3,75,9,28,72.82257334,76.70851573,8/21/2014
18,131,8,76,9,29,79.93558009,78.42713565,8/22/2014
20,223,11.5,68,9,30,70.04857893,68.12811381,8/23/2014
